Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
Basic,10,15-01-2022,10-06-2023,United States,28,Male,Smartphone,1 Month
Premium,15,05-09-2021,22-06-2023,Canada,35,Female,Tablet,1 Month
Standard,12,28-02-2023,27-06-2023,United Kingdom,42,Male,Smart TV,1 Month
Standard,12,10-07-2022,26-06-2023,Australia,51,Female,Laptop,1 Month
Basic,10,01-05-2023,28-06-2023,Germany,33,Male,Smartphone,1 Month
Premium,15,18-03-2022,27-06-2023,France,29,Female,Smart TV,1 Month
Standard,12,09-12-2021,25-06-2023,Brazil,46,Male,Tablet,1 Month
Basic,10,02-04-2023,24-06-2023,Mexico,39,Female,Laptop,1 Month
Standard,12,20-10-2022,23-06-2023,Spain,37,Male,Smartphone,1 Month
Premium,15,07-01-2023,22-06-2023,Italy,44,Female,Smart TV,1 Month
Basic,10,16-05-2022,22-06-2023,United States,31,Female,Smartphone,1 Month
Premium,15,23-03-2023,28-06-2023,Canada,45,Male,Tablet,1 Month
Standard,12,30-11-2021,27-06-2023,United Kingdom,48,Female,Laptop,1 Month
Basic,10,01-08-2022,26-06-2023,Australia,27,Male,Smartphone,1 Month
Standard,12,09-05-2023,28-06-2023,Germany,38,Female,Smart TV,1 Month
Premium,15,07-04-2022,27-06-2023,France,36,Male,Tablet,1 Month
Basic,10,24-01-2022,25-06-2023,Brazil,30,Female,Laptop,1 Month
Standard,12,18-10-2021,24-06-2023,Mexico,43,Male,Smartphone,1 Month
Premium,15,15-02-2023,23-06-2023,Spain,32,Female,Smart TV,1 Month
Basic,10,27-05-2023,22-06-2023,Italy,41,Male,Tablet,1 Month
Premium,15,10-06-2023,22-06-2023,United States,26,Female,Laptop,1 Month
Basic,10,22-07-2022,28-06-2023,Canada,34,Male,Smartphone,1 Month
Standard,12,05-12-2021,27-06-2023,United Kingdom,49,Female,Smart TV,1 Month
Standard,12,03-04-2022,26-06-2023,Australia,31,Male,Tablet,1 Month
Basic,10,14-03-2023,28-06-2023,Germany,40,Female,Laptop,1 Month
Premium,15,12-01-2022,27-06-2023,France,29,Male,Smartphone,1 Month
Basic,10,29-08-2022,25-06-2023,Brazil,47,Female,Smart TV,1 Month
Standard,12,27-09-2021,24-06-2023,Mexico,33,Male,Tablet,1 Month
Premium,15,19-12-2022,23-06-2023,Spain,36,Female,Laptop,1 Month
Basic,10,17-05-2023,22-06-2023,Italy,42,Male,Smartphone,1 Month
Premium,15,03-02-2023,22-06-2023,United States,28,Female,Smart TV,1 Month
Basic,10,07-07-2022,28-06-2023,Canada,37,Male,Tablet,1 Month
Standard,12,21-01-2022,27-06-2023,United Kingdom,41,Female,Laptop,1 Month
Standard,12,25-05-2022,26-06-2023,Australia,29,Male,Smartphone,1 Month
Basic,10,11-04-2023,28-06-2023,Germany,39,Female,Smart TV,1 Month
Premium,15,01-03-2022,27-06-2023,France,35,Male,Tablet,1 Month
Basic,10,14-09-2022,25-06-2023,Brazil,45,Female,Laptop,1 Month
Standard,12,05-11-2021,24-06-2023,Mexico,32,Male,Smartphone,1 Month
Premium,15,28-12-2022,23-06-2023,Spain,27,Female,Smart TV,1 Month
Basic,10,07-03-2023,22-06-2023,Italy,48,Male,Tablet,1 Month
Premium,15,20-01-2023,22-06-2023,United States,31,Female,Laptop,1 Month
Basic,10,15-06-2022,28-06-2023,Canada,40,Male,Smartphone,1 Month
Standard,12,07-02-2022,27-06-2023,United Kingdom,36,Female,Smart TV,1 Month
Standard,12,26-04-2022,26-06-2023,Australia,29,Male,Tablet,1 Month
Basic,10,28-01-2023,28-06-2023,Germany,43,Female,Laptop,1 Month
Premium,15,23-02-2022,27-06-2023,France,34,Male,Smartphone,1 Month
Basic,10,05-10-2022,25-06-2023,Brazil,39,Female,Smart TV,1 Month
Standard,12,15-09-2021,24-06-2023,Mexico,32,Male,Tablet,1 Month
Premium,15,10-11-2022,23-06-2023,Spain,28,Female,Laptop,1 Month
Basic,10,02-06-2023,22-06-2023,Italy,45,Male,Smartphone,1 Month
